Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL
node:lts as builder,npm install,"WORKDIR /app
COPY package*.json ./",https://github.com/joheee/NetmanFrontend/blob/b02980e66f6c0747c78b7a38b16074c0d539aeb8/dockerfile
node:lts as builder,npm run build,"WORKDIR /app
COPY package*.json ./",https://github.com/joheee/NetmanFrontend/blob/b02980e66f6c0747c78b7a38b16074c0d539aeb8/dockerfile
node:lts,npm ci,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/Tristan-Muggridge/pafin-code-challenge/blob/3957fa1ffa499035a19cebdb7d020c58151df4f7/dockerfile
node:lts-slim,apt-get update && apt-get install -y openssl && rm -rf /var/lib/apt/lists/*,,https://github.com/adr1enbe4udou1n/nestjs-realworld-example-app/blob/82069881bffb1c10627b121d5bc03016ecf3ddae/Dockerfile
node:lts-bullseye-slim,npm i --omit=dev,"WORKDIR /home/node
COPY --chown=node:staff package.json .",https://github.com/jobscale/kabuka/blob/3595232f036316486d9b932365ee183738899dec/Dockerfile
node:lts AS builder,npm install,"WORKDIR /usr/src/app
COPY package*.json ./
COPY tsconfig*.json ./
COPY ./src ./src",https://github.com/lucaslopezf/insta-api/blob/eaee51666e0667b279ee9159dab8582e42f0f570/Dockerfile
node:lts AS builder,npm run build,"WORKDIR /usr/src/app
COPY package*.json ./
COPY tsconfig*.json ./
COPY ./src ./src",https://github.com/lucaslopezf/insta-api/blob/eaee51666e0667b279ee9159dab8582e42f0f570/Dockerfile
node:lts AS builder,npm install -g pm2,"WORKDIR /usr/src/app
COPY package*.json ./
COPY tsconfig*.json ./
COPY ./src ./src",https://github.com/lucaslopezf/insta-api/blob/eaee51666e0667b279ee9159dab8582e42f0f570/Dockerfile
node:lts-buster-slim,npm install --production,"WORKDIR /app
COPY package.json production.js /app/
COPY view /app/view
COPY src /app/src",https://github.com/lizheming/wxhermit/blob/42f9ef17ca1a5b0fd000024fe6463f7082635d69/Dockerfile
node:lts-bullseye-slim,yarn set version 4.1.1,"WORKDIR /usr/src/app
COPY . .",https://github.com/jtamminga/jotto_multi/blob/a120505bd868b1bc800cad2014be4d8592e5f917/Dockerfile
node:lts-bullseye-slim,yarn install,"WORKDIR /usr/src/app
COPY . .",https://github.com/jtamminga/jotto_multi/blob/a120505bd868b1bc800cad2014be4d8592e5f917/Dockerfile
node:lts-bullseye-slim,yarn build,"WORKDIR /usr/src/app
COPY . .",https://github.com/jtamminga/jotto_multi/blob/a120505bd868b1bc800cad2014be4d8592e5f917/Dockerfile
node:lts-slim,apt-get update && apt-get -y install git curl wget nano vim procps sudo xvfb,,https://github.com/solarwinds/nova/blob/8b204787472ab46c146c6ac3c7f3d3e742956280/Dockerfile
node:lts-slim,"curl -sSL https://dl.google.com/linux/linux_signing_key.pub | apt-key add - && echo ""deb http://dl.google.com/linux/chrome/deb/ stable main"" > /etc/apt/sources.list.d/google.list && apt-get update && apt-get install -y google-chrome-stable && ln -s /usr/bin/google-chrome /usr/bin/chrome && rm /etc/apt/sources.list.d/google.list",,https://github.com/solarwinds/nova/blob/8b204787472ab46c146c6ac3c7f3d3e742956280/Dockerfile
node:lts-slim,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/maswadkar/crm/blob/0ad13d0e27382458d29654363318a732efad61e3/Dockerfile
node:lts,NODE_ENV=development npm install,COPY package.json package-lock.json ./,https://github.com/halkeye/example-express-websocket/blob/3a1d7ac1d94f517151d09514482fec0a642a6a63/Dockerfile
node:lts,npm run build,COPY package.json package-lock.json ./,https://github.com/halkeye/example-express-websocket/blob/3a1d7ac1d94f517151d09514482fec0a642a6a63/Dockerfile
node:lts,npm install,COPY package.json package-lock.json ./,https://github.com/halkeye/example-express-websocket/blob/3a1d7ac1d94f517151d09514482fec0a642a6a63/Dockerfile
