Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/Qhingthuth/Zenitsu-Bot2./blob/fd5d798b27f0b546c78345ba052645ac740001d5/Dockerfile
node:lts,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/dandyproject/gabungan/blob/e2624752db1e39a49f32bd30d15b32228be38d34/Dockerfile
node:lts,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/Kresswell/Cc-checker/blob/95f7ab6b5e120b33b7d4c7ba1a4ca5b1c6a23eca/Dockerfile
node:lts,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/MFarelS/imageToSticker/blob/8932dfb8ac950aeef74f0f76bfc53fc0bdf70af1/Dockerfile
node:lts,npm install,"WORKDIR /usr/src/app
COPY package*.json ./",https://github.com/MarcosRamosGit/BotWpp/blob/38c2353e76823a3bb98f996575422f3a4489746e/Dockerfile
node:lts-bullseye-slim,npm i --omit=dev,"WORKDIR /home/node
COPY --chown=node:staff package.json .",https://github.com/jobscale/speedtest/blob/e95f6f2eb65f115bf897f31f6080394d1f62f673/Dockerfile
node:lts-bullseye-slim,npm i --omit=dev,"WORKDIR /home/node
COPY --chown=node:staff package.json .",https://github.com/jobscale/news-top/blob/fa699c3904f05a64da4d074726369f155d69ffff/Dockerfile
node:lts-bullseye-slim,npm i --omit=dev,"WORKDIR /home/node
COPY --chown=node:staff package.json .",https://github.com/jobscale/info-certificate/blob/6ad08f73b560c422e14855e2160899f165f758bd/Dockerfile
node:lts,NODE_ENV=development npm install,COPY package.json package-lock.json ./,https://github.com/halkeye/example-express-stream/blob/bf9d2215e3b8f48fa8e4c20ce921f618c5278909/Dockerfile
node:lts,npm install -g eslint prettier,,https://github.com/webpack/webpack-cli/blob/ea0d9b12522955dc9a046411be244262eb5103bd/.devcontainer/Dockerfile
node:lts AS build,"wget -q -O - https://dl-ssl.google.com/linux/linux_signing_key.pub | apt-key add - && echo ""deb http://dl.google.com/linux/chrome/deb/ stable main"" > /etc/apt/sources.list.d/google-chrome.list && apt-get update && apt-get -y install google-chrome-stable","WORKDIR /app
COPY . /app",https://github.com/devonfw/my-thai-star/blob/a0a62bee0b5c14bba583c49654b31a67774a7067/angular/Dockerfile.travis
node:lts as build,corepack enable,"WORKDIR /usr/src/app
COPY package.json yarn.lock .yarnrc.yml ./
COPY packages/simpleserialize.com/package.json packages/simpleserialize.com/yarn.lock packages/simpleserialize.com/",https://github.com/ChainSafe/ssz/blob/67bcd881cae2771837232479a68f807813b703e9/simpleserialize.Dockerfile
node:lts-slim,apt-get update && apt-get install -y chromium && npm install -g pnpm && pnpm install,ADD package.json pnpm-lock.yaml /,https://github.com/GeopJr/CO2/blob/5d41ab048a15abfe7a429f9d7a0c55547361d1ac/Dockerfile.base
node:lts-slim,mkdir /app,,https://github.com/Aurora-Admin-Panel/frontend/blob/7c8bcde889dda8a7e86e41497f64525471da3ee1/Dockerfile-dev
node:lts,cd /work && npm install && npm run build:full && cp -rf build /app,"COPY [ ""./"", ""/work/"" ]",https://github.com/jc-lab/ultravnc_repeater.js/blob/090945525480073481d1e60084b425800fad9798/app.Dockerfile
node:lts,cd ../../shared && npm install && cd ../microservices/videostreaming,"WORKDIR /home/microservices/videostreaming
COPY shared ../../shared
COPY microservices/videostreaming ./",https://github.com/CS3219-AY2324S1/ay2324s1-course-assessment-g41/blob/c67878188bbd93385a89406c08145fae0aa102bd/backend/microservices/videostreaming/Dockerfile.dev
node:lts as frontend-builder,corepack enable pnpm,WORKDIR /usr/src/app,https://github.com/COSCUP/conf-ops/blob/ceeb25c3083fd433c0ac3080f6444cffa3eb5b0d/Dockerfile
node:lts,npm clean-install,"WORKDIR /source
COPY NodeApp/package.json ./NodeApp/
COPY NodeApp/package-lock.json ./NodeApp/
WORKDIR /source/NodeApp",https://github.com/oliversturm/hosteurope-docker-tutorial-1/blob/7e4299f62f5ceb2f2fdbff1cd00ee5fe4e3b1720/NodeApp.Dockerfile
node:lts AS stage-build,yarn global add jest,"WORKDIR /usr/src
COPY packages-client/client/package.json packages-client/client/yarn.lock packages-client/client/tsconfig.json ./",https://github.com/bear-in-a-box/team-app/blob/db7a70da3a777076126f812e9898834176afaf1f/client.Dockerfile
node:lts,npm install --prefer-offline --frozen-lockfile --non-interactive --production=false,"WORKDIR /app
COPY . .",https://github.com/Nitwel/nitwel.de/blob/d9e808a367bc4fa22471ded2d1cd9055187e90ce/Dockerfile
node:lts as builder,npm install,"WORKDIR /app
COPY package.json package-lock.json ./",https://github.com/samuelloza/citc2024-taller-front/blob/f3cfe4b56c723ada0f9f7c6d8ecb6eecde4987c2/Dockerfile
node:lts as builder,npm ci,"WORKDIR /app
COPY . .",https://github.com/terra-money/fcd-classic/blob/20218bfa9292405f667ff02a3c4daa11d420897c/Dockerfile
node:lts-hydrogen,npm install,"WORKDIR /app
COPY [""package.json"", ""package-lock.json*"", ""./""]",https://github.com/fawzanrizqy/mockup-IMDB-mobile/blob/a5676d3a746c8f5ef4a5e8c3900c717b3da05484/server/services/app/Dockerfile
node:lts-slim,npm install -g http-server vite,,https://github.com/lebrunthibault/protocol0/blob/0695f72beeb1a7e4d687e093d25260347f621606/p0_web/frontend/development.Dockerfile
node:lts,npm install,"WORKDIR /app
ADD . /app",https://github.com/Loopring/protocols/blob/425d152e5dee56d847335481ac5da56eba9f31da/packages/hebao_v1/Dockerfile-test
node:lts-slim AS cvat-ui,"yarn config set ""strict-ssl"" false -g","COPY package.json /tmp/
COPY yarn.lock /tmp/
COPY cvat-core/package.json /tmp/cvat-core/
COPY cvat-canvas/package.json /tmp/cvat-canvas/
COPY cvat-canvas3d/package.json /tmp/cvat-canvas3d/
COPY cvat-ui/package.json /tmp/cvat-ui/
COPY cvat-data/package.json /tmp/cvat-data/
WORKDIR /tmp/",https://github.com/blossom-agit/docker/blob/5abac87e1e79cfc824dafec2e0fa0fe60dcd1ba7/cvat/Dockerfile.ui
node:lts,npm install,"WORKDIR /app
COPY package*.json ./",https://github.com/achrafainhajar/42-Transcendence/blob/e03fd9f75063b140ae73a0e408bac51b310acb4c/backend/Dockerfile.dev
node:lts-hydrogen,npm install,"WORKDIR /app
COPY . .",https://github.com/SafouaneM/portfolio-hackathon/blob/81c06f61bae61015b16616914b72d800bca8cb1a/Dockerfile
node:lts-slim AS npmbuild,apt-get update && apt-get install -y libgdiplus,,https://github.com/GensouSakuya/qqguild-live-chat/blob/967dbd858391c64f41b6bd9ee19f1e8d97b0515f/src/qqguildlivechat/Dockerfile
node:lts,npm install,"WORKDIR /var/www/html/app/frontend
COPY . .",https://github.com/jpabloglez/docker-django-drf-vue-vite/blob/9f60c5f0ce3e47a618b4ce4fd87b06f52966aa43/dockerfiles/Dockerfile.frontend
--platform=$BUILDPLATFORM node:lts-slim AS static_assets_build,apt-get update -q && apt-get install --no-install-recommends -y git libsqlite3-dev libc6-dev libevent-dev libgmp-dev libpcre2-dev libpng-dev libssl-dev libyaml-dev zlib1g-dev,WORKDIR /khodo,https://github.com/kwalter94/khodo/blob/c10f6aec04c8b276bfe707dfbca98fc5ce6cd395/docker/Dockerfile
node:lts-gallium,apt update && apt install nano -y,"WORKDIR /app
COPY . /app",https://github.com/mwbowo/cix/blob/e37462d572432e1d125cb6102f9471032c92ed08/frontend/dockerfile-fe
node:lts,npm install,"WORKDIR /app
COPY package*.json ./",https://github.com/alanbarcelos1998/zipin_form/blob/3799ef6145a939bcee88f71eb1f79381fc9fda8d/Dockerfile
node:lts-bullseye AS inode,rm -rf /bin/ls,,https://github.com/TarsCloud/K8SFramework/blob/2632089515f38723334d537aef73d87fdc5d5a7c/compiler/base-compiler-bullseye.Dockerfile
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && npm i pm2 -g && rm -rf /var/lib/apt/lists/*,,https://github.com/caseyweb/QUEEN-CHARITY/blob/7bf13e13d86b5da471fb0623b7583284d20a9961/lib/Dockerfile
node:lts,npm install --silent,"WORKDIR /usr/src/app
COPY [""package.json"", ""package-lock.json"", ""./""]",https://github.com/ananthanir/DOSA/blob/5f3ffe71cb9385c77454f2a07049b3806320feaa/ui/Dockerfile
node:lts AS build,npm install,"WORKDIR /app
COPY package*.json ./",https://github.com/danmofo/dmoffat-v3/blob/23762aa122de9400753d9d096ab745befbc6325f/dockerfiles/nginx.dockerfile
node:lts-hydrogen,npm install --omit=dev -y,"COPY ./build /peerprep_matching_service_api/
COPY package.json /peerprep_matching_service_api/
COPY package-lock.json /peerprep_matching_service_api/
WORKDIR /peerprep_matching_service_api",https://github.com/CS3219-AY2324S1-G04/peerprep_matching_service/blob/c90a9af98b1dacf88eafee724d6586c19c0bf389/dockerfiles/api.dockerfile
node:lts,yarn,"WORKDIR /app
COPY . .",https://github.com/ghostdial/ghostdial/blob/5610229690bb7c9a8d6b3db0ecd30cf000bd3bda/Dockerfile-voicemail
node:lts AS builderjs,go mod download,"WORKDIR /app
COPY ../go.mod ../go.sum ./",https://github.com/fordevio/wharf/blob/c5cddcd08f7d06c3ce8bcdb8c6b003f15c2124f8/deployment/Dockerfile
node:lts-gallium,apt update && apt install nano -y,"WORKDIR /app
COPY /frontend/ /app",https://github.com/rvnaras/jenkins-eks-k8s/blob/26d7e480c15c42eb330576c3647d81f4656f17a2/frontend/Dockerfile.fe
node:lts-slim as server,npm ci,"WORKDIR /build
COPY . .",https://github.com/lukaspanni/spotify-stats/blob/1ca4e8303b690a04bc823f25f5789d2677fd5e26/Dockerfile
